Type of graph,Number of switches,Calculation Time (ms)
Erdos-Renyi,200,87830.48293297179
Waxman,200,36.28707095049322
Erdos-Renyi,400,206490.15649501234
Waxman,400,7047.37058095634
Erdos-Renyi,600,345397.58960017934
Waxman,600,57323.91597609967
Erdos-Renyi,800,444401.39794605784
Waxman,800,181322.07597303204
Erdos-Renyi,1000,565736.0295730177
Waxman,1000,405520.4776430037
Erdos-Renyi,1200,761830.4531089962
Waxman,1200,871601.6176030971
Erdos-Renyi,1400,848154.5144459233
Waxman,1400,1375747.5462078582
Erdos-Renyi,1600,1006464.8336770479
Waxman,1600,1485531.6046089865
Erdos-Renyi,1800,1183932.3047089856
Waxman,1800,1722229.7799400985
Erdos-Renyi,2000,1321335.8454350382
Waxman,2000,598481.0172431171
